lat,lon,elevation
43.162,76.896,1134.0
43.115,77.039,2923.0
43.175,76.971,1290.0
43.184,76.873,1022.0
43.058,76.989,2560.0
43.165,77.02,1623.0
43.154,76.901,1210.0
43.049,76.979,2664.0
43.191,76.877,993.0
43.186,76.953,1152.0
43.117,77.001,2546.0
43.133,76.878,1524.0
43.16,76.829,1198.0
43.122,76.982,2083.0
43.18,76.826,957.0
43.097,77.048,3226.0
43.175,76.891,1073.0
43.084,77.013,2672.0
43.189,77.019,1306.0
43.06,77.074,3457.0
43.169,77.102,2167.0
43.168,76.876,1094.0
43.153,76.846,1292.0
43.037,77.06,4124.0
43.051,77.026,3306.0
43.07,77.018,2838.0
43.115,77.008,2662.0
43.151,76.815,1312.0
43.155,76.894,1164.0
43.114,76.976,2264.0
43.188,76.857,985.0
43.078,77.001,2267.0
43.167,77.047,1744.0
43.148,76.852,1282.0
43.188,76.841,954.0
43.154,76.8,1120.0
43.177,77.04,1608.0
43.19,76.822,902.0
43.139,77.062,2143.0
43.064,77.055,3707.0
43.118,77.08,2388.0
43.193,76.86,968.0
43.144,77.01,2081.0
43.18,76.856,1009.0
43.17,77.031,1451.0
43.106,76.956,2043.0
43.078,76.967,2402.0
43.04,77.061,3886.0
43.05,77.024,3454.0
43.173,77.083,2052.0
43.194,76.965,1176.0
43.19,77.012,1342.0
43.175,76.829,996.0
43.189,76.92,1026.0
43.094,76.909,1700.0
43.12,76.966,2022.0
43.102,76.959,2182.0
43.195,77.123,1813.0
43.057,77.001,2823.0
43.195,77.057,1738.0
43.156,76.882,1165.0
43.144,76.935,1535.0
43.134,76.924,1831.0
43.134,76.888,1509.0
43.138,77.021,2502.0
43.186,77.031,1420.0
43.125,77.078,2226.0
43.115,76.903,1699.0
43.181,76.872,1032.0
43.166,77.01,1490.0
43.104,76.959,2281.0
43.168,77.023,1477.0
43.086,76.949,2196.0
43.195,76.823,886.0
43.149,77.025,1858.0
43.195,77.128,1895.0
43.192,76.952,1177.0
43.145,76.917,1553.0
43.179,77.086,1827.0
43.143,76.968,1684.0
43.156,76.982,1652.0
43.132,77.074,2073.0
43.194,76.803,861.0
43.189,76.888,1010.0
43.119,76.956,2054.0
43.191,77.009,1321.0
43.088,76.915,2003.0
43.084,76.998,2519.0
43.09,76.905,1739.0
43.056,77.004,2985.0
43.145,76.959,1550.0
43.174,76.845,1043.0
43.197,76.966,1110.0
43.09,77.063,3453.0
43.199,76.882,969.0
43.154,77.015,2101.0
43.175,77.122,2509.0
43.07,76.969,2422.0
43.164,77.003,1688.0
43.196,77.045,1567.0
43.184,76.904,1033.0
43.077,76.988,2176.0
43.147,76.817,1404.0
43.145,76.824,1332.0
43.096,76.925,1891.0
43.181,76.933,1105.0
43.173,76.807,977.0
43.185,77.054,1753.0
43.074,76.999,2533.0
43.083,76.996,2442.0
43.198,76.801,845.0
43.195,77.054,1636.0
43.108,77.039,2956.0
43.133,77.061,2137.0
43.171,77.063,1959.0
43.179,77.033,1734.0
43.151,77.023,1898.0
43.089,76.976,2232.0
43.084,76.995,2465.0
43.131,76.84,1454.0
43.174,77.096,1970.0
43.143,76.936,1608.0
43.089,76.973,2110.0
43.139,77.03,2347.0
43.199,76.956,1160.0
43.09,76.929,2125.0
43.147,77.002,2057.0
43.194,76.86,965.0
43.164,77.018,1656.0
43.149,76.942,1500.0
43.12,77.004,2379.0
43.078,76.963,2444.0
43.096,76.998,2982.0
43.186,76.864,1001.0
43.178,76.866,1038.0
43.121,77.054,2440.0
43.125,76.844,1491.0
43.181,76.943,1159.0
43.195,76.799,853.0
43.199,76.984,1115.0
43.165,77.11,2201.0
43.169,76.84,1055.0
43.086,77.059,3569.0
43.167,77.009,1521.0
43.057,77.039,3290.0
43.116,76.964,2250.0
43.168,76.825,1096.0
43.111,76.979,2297.0
43.13,76.898,1412.0
43.179,77.09,1893.0
43.16,76.991,1616.0
43.045,76.96,3088.0
43.188,77.132,2032.0
43.079,77.005,2448.0
43.124,77.032,2888.0
43.198,76.862,952.0
43.153,76.986,1779.0
43.114,77.047,2863.0
43.087,76.97,1962.0
43.153,76.96,1590.0
43.101,76.93,1554.0
43.07,77.054,3741.0
43.175,77.115,2384.0
43.127,76.986,2195.0
43.038,77.044,3539.0
43.179,77.028,1563.0
43.07,76.994,2394.0
43.196,76.893,981.0
43.135,77.052,2545.0
43.168,76.804,1030.0
43.134,76.971,2075.0
43.154,76.87,1260.0
43.082,77.017,2872.0
43.065,77.012,2678.0
43.165,76.959,1326.0
43.17,76.959,1329.0
43.134,76.951,1729.0
43.165,76.825,1148.0
43.116,77.093,2866.0
43.081,76.913,1959.0
43.144,76.937,1609.0
43.199,76.82,872.0
43.189,76.816,894.0
43.142,76.902,1234.0
43.154,77.053,2005.0
43.085,77.083,3128.0
43.101,76.917,1774.0
43.066,77.066,3675.0
43.15,76.829,1239.0
43.178,76.988,1463.0
43.142,76.918,1486.0
43.101,77.032,3120.0
43.139,77.025,2335.0
43.174,77.015,1327.0
43.187,77.014,1325.0
43.092,76.903,1844.0
43.14,76.849,1438.0
43.069,77.02,2945.0
43.153,76.843,1277.0
43.113,77.035,3059.0
43.089,77.022,3104.0
43.095,77.003,3217.0
43.122,76.909,1375.0
43.176,77.033,1567.0
43.097,77.022,3340.0
43.188,76.982,1240.0
43.075,77.069,3554.0
43.114,77.076,2413.0
43.175,76.888,1071.0
43.137,76.954,1798.0
43.135,77.029,2551.0
43.15,77.061,1892.0
43.173,77.01,1379.0
43.169,77.007,1535.0
43.199,76.995,1297.0
43.072,76.973,2476.0
43.115,76.911,1469.0
43.175,77.045,1558.0
43.134,76.86,1456.0
43.096,76.954,1729.0
43.191,77.033,1430.0
43.157,76.983,1703.0
43.136,76.891,1402.0
43.175,77.062,1721.0
43.042,77.057,3692.0
43.067,77.039,3345.0
43.19,77.125,2014.0
43.139,76.964,1726.0
43.082,77.033,3396.0
43.13,77.016,2608.0
43.091,76.971,2213.0
43.186,77.018,1401.0
43.16,77.021,1683.0
43.063,77.047,3418.0
43.191,76.934,1089.0
43.191,77.073,1801.0
43.178,76.996,1344.0
43.066,76.968,2712.0
43.188,76.877,1008.0
43.138,76.9,1322.0
43.112,76.935,2008.0
43.169,76.981,1406.0
43.171,77.057,1837.0
43.187,77.072,1938.0
43.127,77.081,2300.0
43.196,77.061,1749.0
43.18,76.935,1140.0
43.168,77.117,2295.0
43.168,77.017,1478.0
43.194,76.819,883.0
43.093,77.027,3306.0
43.143,77.045,2079.0
43.141,77.06,2082.0
43.175,76.938,1152.0
43.105,76.938,1813.0
43.162,76.874,1167.0
43.114,76.925,1685.0
43.143,77.01,2150.0
43.155,76.872,1223.0
43.035,76.945,3467.0
43.154,76.881,1187.0
43.14,76.994,2153.0
43.146,76.967,1755.0
43.078,77.085,3270.0
43.051,76.998,2885.0
43.14,77.064,1989.0
43.175,77.102,1962.0
43.182,77.093,1820.0
43.131,76.904,1338.0
43.052,76.982,2509.0
43.144,76.919,1541.0
43.069,77.041,3464.0
43.12,76.986,2113.0
43.134,76.869,1423.0
43.141,77.033,2218.0
43.175,76.949,1252.0
43.055,76.971,2714.0
43.189,76.981,1217.0
43.166,76.891,1114.0
43.188,77.033,1384.0
43.16,76.923,1336.0
43.131,76.895,1383.0
43.13,76.939,1763.0
43.147,77.003,2087.0
43.142,76.877,1365.0
43.194,76.799,861.0
43.142,77.015,2278.0
43.047,77.009,3299.0
43.063,77.027,2980.0
43.133,76.861,1443.0
43.127,76.917,1483.0
43.122,76.942,1789.0
43.171,76.826,1056.0
43.175,76.799,960.0
43.142,77.043,2026.0
43.187,76.973,1261.0
43.176,76.983,1491.0
43.198,76.919,984.0
43.153,77.018,2082.0
43.192,76.926,1021.0
43.154,76.825,1193.0
43.171,77.098,2103.0
43.199,76.807,848.0
43.194,76.959,1192.0
43.136,77.008,2424.0
43.152,77.016,2123.0
43.173,77.023,1368.0
43.098,76.941,1728.0
43.105,77.02,3164.0
43.14,77.062,2024.0
43.174,76.909,1102.0
43.158,76.808,1214.0
43.178,76.869,1042.0
43.176,77.032,1554.0
43.185,76.946,1184.0
43.091,76.932,2087.0
43.082,76.96,2124.0
43.088,76.996,2594.0
43.15,76.895,1190.0
43.156,77.055,1821.0
43.05,77.013,3105.0
